site,length,width,depth,velocity,year,pH,conductivity,ele_up,ele_down,slope,NO2,NO2_NO3,NH4,PO4
S1_high,100,0.73,0.1395,0.36909,2015,NA,NA,96,86,100,NA,NA,NA,NA
S1_low,45,0.71,0.12,0.55,2015,NA,NA,85,84,22.22222222,NA,NA,NA,NA
S10,50,0.49545455,0.105,0.444427,2015,NA,NA,201,129,1440,NA,NA,NA,NA
S11A,50,0.91875,0.08875,0.4158333,2015,NA,NA,192,185,140,NA,NA,NA,NA
S11B_high,49,0.56454546,0.084454546,0.32722,2015,NA,NA,194,183,224.4897959,NA,NA,NA,NA
S11B_low,49,0.39836364,0.086636364,0.34145455,2015,NA,NA,194,183,224.4897959,NA,NA,NA,NA
S1A,70,1.1672727,0.127454,0.2703636,2015,NA,NA,105,101,57.14285714,NA,NA,NA,NA
S5,30,0.228,0.064,0.10423252,2015,NA,NA,141,137,133.3333333,NA,NA,NA,NA
S6,50,0.206333,0.117,0.104,2015,NA,NA,148,138,200,NA,NA,NA,NA
S7,40,0.35,0.083,0.31,2015,NA,NA,212,188,600,NA,NA,NA,NA
S1,100,0.74,0.12,0.61,2016,7.2,321.73,96,86,100,0.26,0.52,0.48,0.35
S1_low,45,1.08,0.13,0.81,2016,7.36,305.22,85,84,22.22222222,0.26,0.52,0.48,0.35
S1A,70,0.585,0.07,0.4973,2016,7.4,230.91,105,101,57.14285714,0.25,0.65,0.7,0.54
S1B,50,0.42,0.058,0.14,2016,7.5,462.4,105,104,20,0.28,0.53,0.18,0.17
S4,100,0.462,0.06,0.36,2016,7.27,204.55,104,104,0,0.2,0.28,0.22,0.14
S5_low,50,0.319,0.041,0.0936,2016,7.63,273.55,135,126,180,0.22,0.79,0.17,0.27
S5_high,30,0.173,0.037,0.055,2016,7.63,319.17,141,137,133.3333333,0.22,0.79,0.17,0.27
S6,50,0.19125,0.0286,0.117,2016,7.43,289.63,148,138,200,0.22,0.62,0.21,1.02
S7_high,40,0.4,0.053,0.3,2016,7.43,359.1,212,188,600,0.22,0.66,0.28,0.7
S7_low,50,0.3,0.043,0.4,2016,7.43,304.7,168,157,220,0.22,0.66,0.28,0.7
S9,50,0.407,0.027,0.11,2016,7.57,173.3,180,147,660,0.29,0.52,0.27,0.86
S10,50,0.22,0.109,0.24,2016,7.53,167,201,129,1440,0.35,13.04,0.24,0.74
S11A,50,0.709,0.078,0.765,2016,7.17,235.7,192,185,140,0.24,0.53,0.19,0.55
S11B,49,0.3075,0.042,0.328,2016,7.33,407.88,194,183,224.4897959,0.25,0.5,0.27,1.25
