site,Chla,Chl_tot
S1,1.9424,4.4889
S1,3.7007,8.5196
S1,2.114,4.8647
S4,1.3029,3.0475
S4,1.0649,2.4709
S4,1.1098,2.5945
S1A,0.5891,1.3745
S1A,1.0648,2.4915
S11B,4.72,10.9133
S11B,6.4866,15.083
S7_low,0.4331,1.009
S7_low,1.2422,3.0475
S7_low,1.8647,4.4786
S11A,0.5059,1.2355
S11A,3.3959,7.8504
S11A,4.7064,11.2788
S5_high,7.261,16.8641
S5_high,4.3529,10.5632
S5_high,5.4521,12.6018
S6,0.1724,0.4118
S6,0.7705,1.7914
S6,3.5689,8.3394
S9,6.6949,15.5257
S9,0.8755,2.0385
S9,0.6112,1.4208
S5_high,10.3987,24.0335
S5_high,8.9838,20.7796
S5_high,6.4729,14.9926
S10,4.4621,10.3795
S10,0.5119,1.1945
S10,0.1303,0.3089
S7_high,0.7228,1.6836
S7_high,1.6397,3.8151
S7_high,3.0882,7.1668
S5_low,0.2625,0.6075
S5_low,0.9126,2.147
S5_low,0.2371,0.5663
S1B,0.3909,0.9113
S1B,0.5598,1.282
S1B,0.5302,1.2357
S1_low,1.2149,2.842
S1_low,6.1106,14.1328
S1_low,1.1813,3.0428
